==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816
fffffffffff==ID: 134{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 135{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 136{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 137{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 138{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 139{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 140{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 141{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 142{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 143{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 144{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 145{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 146{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 147{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

fffffffffff==ID: 148{'N0': 0.028133543000107623, 'Nmax': 0.38021946370925747, 'rmax': 0.024013888873611253}-247.83439289189496

